Vision West Aluminum Ltd. 	(604) 574-2500 ext ____	(604) 574-2555 ext ____	301-19055 54th Avenue	Surrey	BC	Canada	V3S 4R1	VWA	6150	2017-04-25 13:28:08-07	2017-06-29 13:38:45-07	\N	f
Smith + Anderson	(604) 294-8414 ext ____		338 - 6450 Roberts Street	Burnaby	BC	Canada	V5G 4E1	S+A	6146	2017-04-19 15:18:49-07	2017-04-19 15:18:49-07	\N	f
Colwin Electrical Group	6044612181	6044619968	2829 Murray Street	Port Moody	BC	Canada	V3H1X3	CEL	431	2001-07-24 08:00:00-07	2016-05-06 06:31:21-07	\N	f
PDQ Construction Ltd. 	(604) 671-4351 ext ____	(604) 533-4791 ext ____	#206-20189 56 Avenue	Langley	BC	Canada	V3A 3Y6	PDQ	6140	2017-03-28 11:08:24-07	2017-09-20 13:54:01-07	\N	f
Wicke Herfst Maver Structural Engineers	6044842859	\N	2227 Douglas Rd	Burnaby	BC	Canada	V5C 5A9	WHM	5878	2016-05-06 06:32:53-07	2017-07-12 09:02:43-07	\N	f
City of Abbotsford (Operations Work Yard Location	(604) 853-5485 ext ____	\N	31739 King Road	Abbotsford	BC	Canada	V2T 5Z2	\N	6209	2017-09-27 08:43:31-07	2017-09-27 08:43:41-07	\N	f
Systech Safety Ltd. 	(604) 802-4567 ext ____	\N	Need	need	BC	Canada	Need	SSL	6210	2017-09-29 11:03:25-07	2017-09-29 11:03:25-07	\N	f
West 7th Avenue Limited Partnership 	(604) 642-6046 ext ____	\N	500-509 Richards Street	Vancouver	BC	Canada	V6B 2Z6	CDL	6156	2017-05-02 16:38:40-07	2017-08-03 09:45:32-07	\N	f
CWL Contracting Ltd.	6048640714	6048640715	104-3550 Mt. Lehman Road	Abbotsford	BC	Canada	V4X 2M9	CWL	5038	2012-07-17 08:00:00-07	2017-11-28 14:29:17-08	5	f
Pacific Waterproofing Ltd.	(604) 299-3580 ext ____	(604) 299-5322 ext ____	1635 MacDonald Avenue	Burnaby	BC	Canada	V5C 4P1	PW	6143	2017-04-12 14:22:42-07	2017-06-21 14:59:56-07	0.00000000000000000000	f
Danma Kitchen Cabinets Ltd.	(604) 525-1565 ext ____	\N	718 Eaton Way Annacis Island	Delta	BC	Canada	V3M6J9	DKC	6160	2017-05-10 13:50:23-07	2017-08-17 14:22:51-07	\N	f
Abbott Shoring and Foundations	6045205990	6049293999	2105 Banbury Road	North Vancouver	B.C.	Canada	V7G 1W7	ASF	4378	2010-07-20 08:00:00-07	2017-04-06 14:40:44-07	0.00000000000000000000	f
Fine Drywall Ltd.	(604) 897-9500 ext ____	(778) 578-9521 ext ____	#213 - 6333 148th Street	Surrey	BC	Canada	V3S 3C3	FDL	6139	2017-03-24 11:52:17-07	2017-07-27 10:00:22-07	0.00000000000000000000	f
Elite Sprinkler Systems Ltd.	(604) 850-0014 ext ____	(604) 850-8174 ext ____	Unit #1 - 33605 Maclure Road	Abbotsford	BC	Canada	V2S 7W2	ESS	6153	2017-04-28 10:54:05-07	2017-11-28 14:28:30-08	0	f
Turnbull Construction Project Managers Ltd.	(604) 282-1363 ext ____	\N	Suite 1670 Central City Tower, 13450 102nd Avenue	Surrey	BC	Canada	V3T 5X3	TCPM	6132	2017-03-14 10:01:06-07	2017-10-19 11:10:52-07	\N	f
Integral Group	6046871800	6046871802	#180- 200 Granville Street	Vancouver	BC	Canada	V6C 1S4	IG	1449	2001-07-24 08:00:00-07	2017-11-28 10:11:14-08	0	f
Shape Architecture Inc.	(604) 687-4457 ext ____	\N	534 West Pender Street	Vancouver	BC	Canada	V6B 1V3	SAI	6134	2017-03-16 13:28:14-07	2017-03-28 14:16:13-07	\N	f
Nightingale Electric Ltd.	6042750500	6042758900	143 - 11121 Horseshoe Way	Richmond	BC	Canada	V7A 5G7	NEL	1005	2001-07-12 08:00:00-07	2017-09-12 11:18:43-07	8	f
Telus Communications (B.C.) Inc.	6044532073	6044329499	1 - 9100 Glenlyon Parkway	Burnaby	BC	Canada	V5J 5J8	TCI	2807	2004-02-10 07:00:00-08	2018-03-28 09:47:12-07	0	f
Seagate Consulting Ltd. 	(604) 240-1119 ext ____	\N	2nd Floor 8661 - 201 Street	Langley	BC	Canada	V2Y 0G9	SEA	6145	2017-04-19 14:09:00-07	2018-02-13 13:32:30-08	\N	f
Doerksen Roofing Ltd.	(604) 852-6402 ext ____	\N	102 33415 MacLure Road	Abbotsford	BC	Canada	V2S 7W2	DRL	6161	2017-05-12 11:10:13-07	2018-03-05 10:54:40-08	\N	f
Two Pillars Construction Ltd.	6048880540	6048880511	9712 190 Street	Surrey	BC	Canada	V4N 3M9	TPCL	4194	2009-09-27 08:00:00-07	2018-03-15 15:37:02-07	7	f
Altech Aluminum (2004) Ltd	6044303377	6044300077	5800 Beresford Street	Burnaby	BC	Canada	V5J1J1	AAL	181	2001-07-24 08:00:00-07	2018-03-12 15:41:42-07	6	f
Cyntech Construction Ltd. DBA Keller Canada	6042070964	\N	220 - 21320 Gordon Way	Richmond	BC	Canada	V6W 1J8	CCL	5907	2016-05-06 06:32:55-07	2017-05-02 13:05:23-07	7	f
Tri City Cutting & Coring Ltd	(778) 395-7773 ext ____		11125 164 St	Surrey	BC	Canada	V4N 4X9	TCC	4500	2010-10-25 08:00:00-07	2018-03-29 09:37:09-07	\N	f
Pro-Bel Group Limited	6046871301	6046871306	Unit 103 - 350 East Kent Ave South	Vancouver B.C	BC	Canada	V5X4N6	PEL	1136	2001-07-25 08:00:00-07	2018-04-03 09:53:41-07	6	f
Aqua-Coast Engineering Ltd.	6049469910	6049469914	201 - 5155 Ladner Trunk Road	Delta	BC	Canada	V4K 1W4	ACE	3712	2008-04-24 08:00:00-07	2018-04-09 09:59:58-07	0	f
Marmont Construction Services Ltd. 	(604) 720-3183 ext ____	(604) 563-3124 ext ____	7664 Winston Street	Burnaby	BC	Canada	V5A 2H4	MCS	6148	2017-04-24 11:26:17-07	2018-03-22 12:13:34-07	7	f
B Anderlini Excavating	(604) 514-9303 ext ____	\N	4230 240th St. 	Langley	BC	Canada	V2Z2L4	BAE	6137	2017-03-22 11:45:29-07	2017-03-22 14:20:36-07	6	f
Martex Sprinkler Installations Ltd.	(604) 309-8059 ext ____		101-31265 Wheel Ave	Abbotsford	BC	Canada	V2T6H2	MSI	6151	2017-04-25 16:31:47-07	2017-05-11 14:16:40-07	8	f
Dueck Cobblestones Ltd.	6049377283	6049377281	2707 Clarke Street	Port Moody	BC	Canada	V3H1Z5	DCL	550	2001-07-25 08:00:00-07	2016-05-06 06:31:23-07	\N	f
PNN Metal Co. Ltd	(604) 575-8537 ext ____	(778) 574-5689 ext ____	#2-17921 55th Avenue	Surrey	British Columbia	Canada	V3S 6C4	PNN	6123	2017-02-24 09:41:07-08	2017-02-24 09:42:28-08	\N	f
Cronus Masonry Contracting Ltd. 	(604) 767-0206 ext ____	\N	22413 136 Avenue	Maple Ridge	BC	Canada	V4R 2P7	CMC	6135	2017-03-16 13:35:33-07	2017-03-16 13:36:49-07	\N	f
Pure Luxe Painting	(604) 613-8603 ext ____	\N	Unit # 2407 - 1775 Quebec Street	Vancouver	BC	Canada	V5T 0E3	PLP	6147	2017-04-19 15:29:32-07	2017-04-19 15:30:16-07	\N	f
Hexcel Construction Ltd.	6049468744	6049468704	7187 Honeyman Street, Suite 1	Delta	BC	Canada	V4G 1E2	HCL	732	2001-07-25 08:00:00-07	2016-05-06 06:31:28-07	\N	f
Power Civil Contractors	(604) 597-1112 ext ____	(604) 597-1126 ext ____	109-8918 Holt Road	Surrey	BC	Canada	V3V 4H2	Power Civil	6124	2017-02-24 11:12:56-08	2017-02-24 11:12:56-08	\N	f
Gager Electrical Consultants	(778) 277-2225 ext ____	\N	801 - 7TH AVENUE S.W.	Langley	BC	Canada	V3A 4C4	GE	6019	2016-07-21 11:32:58-07	2017-03-10 14:30:03-08	\N	f
Shore Tec Electric Ltd.	6049466700	6049466775	8 - 7218 Progress Way	Delta	BC	Canada	V4G 1H2	STEL	1259	2001-07-23 08:00:00-07	2016-05-06 06:31:33-07	\N	f
General Hydrogen	6042337611	6048310400	13120 Vanier Place	Richmond	BC	Canada	V6V 2J2	GH	1715	2002-03-04 07:00:00-08	2016-05-06 06:31:41-07	\N	f
Bildx Construction Inc.	6049170155	6045555555	931 Dennison Avenue	Coquitlam	BC	Canada	V3J 1X2	BCI	5618	2016-05-06 06:32:41-07	2016-05-06 06:32:42-07	0	f
J J Barnicke	6046877117	6046841017	800 - 475 West Georgia Street	Vancouver	BC		V6B 4M9	JJB	2075	2002-10-03 08:00:00-07	2016-05-06 06:31:47-07	\N	f
Kessler Motors Ltd.	6045745570	1	Cloverdale	1		1	1	KML	3149	2005-11-28 07:00:00-08	2016-05-06 06:32:05-07	\N	f
Westwood Landscapes	6042992966	\N	Unit 106, 1126 Douglas Road	Burnaby	BC	Canada	V5C 4Z6	WL	5857	2016-05-06 06:32:52-07	2016-05-06 06:32:53-07	0	f
Lions Gate Studios	6049835555	6049835554	555 Brooksbank Ave	North Vancouver	BC		V7J 3S5	LGS	2337	2003-02-18 07:00:00-08	2016-05-06 06:31:51-07	\N	f
Positronics In-Building Solutions Limited	(604) 585-2119 ext 105_	(604) 585-3056 ext ____	Unit 272, 8128 128th Street	Surrey	BC	Canada	V3W 1R1	PIBSL	6127	2017-03-02 11:02:33-08	2017-03-27 16:23:34-07	\N	f
Manolis Enterprises Ltd.	6045312604	6045312604	15941 Buena Vista Ave.	White Rock	BC	Canada	V4A  2A	ME	2644	2003-07-28 08:00:00-07	2016-05-06 06:31:55-07	\N	f
Concert Industries Ltd	6046811008	6046812627	950 - 1055 West Georgia Street	Vancouver	BC	Canada	V6E 3P3	CIL	2604	2003-05-26 08:00:00-07	2016-05-06 06:31:54-07	\N	f
A&H Stone Ltd.	(604) 207-2822 ext ____	(604) 277-2689 ext ____	14551 Burrows Road	Richmond	BC	Canada	V6V 1K9	AHS	5210	2013-01-30 07:00:00-08	2017-11-02 10:30:00-07	8	f
LCM Construction Ltd DBA: CanWest Cabinetry	(604) 328-0611 ext ____	\N	5309 Ewart Street	Burnaby	BC	Canada	V5J 2W5	CWC	6157	2017-05-03 15:13:13-07	2017-05-26 11:19:45-07	\N	f
Bordignon Construction Inc.	(604) 809-4840 ext ____		5810 Curtis Street	Burnaby	BC	Canada	V5B 2A3	BCI	6212	2017-10-03 11:00:59-07	2017-10-03 11:01:09-07	\N	f
Trilar Fire Protection Ltd.	(250) 764-6260 ext ____	\N	756 Nathan Rd	Kelowna	BC	Canada	V1W 1K5	TFP	6128	2017-03-02 15:48:57-08	2017-06-15 16:13:00-07	\N	f
BC Housing	6044394745	6044394726	1701 - 4555 Kingsway	Burnaby	BC	Canada	V5H 4V8	BCH	1669	2002-02-17 07:00:00-08	2017-03-06 10:54:51-08	0	f
Fraser Valley Refrigeration Ltd.	6048568644	6048567768	26121 Fraser Hwy	Aldergrove	BC	Canada	V4W 2T8	FVR	1815	2002-06-15 08:00:00-07	2016-05-06 06:31:43-07	8	f
Pro Vita Care Management	(604) 575-0061 ext ____	\N	pwoodhouse@provita.ca	Surrey	BC	Canada	V3S 5K7	PVCM	6211	2017-10-03 09:26:51-07	2017-10-03 09:26:51-07	\N	f
Progressive Kitchens Millwork Ltd. 	(604) 855-0988 ext ____	\N	303-30721 Simpson Road	Abbotsford	BC	Canada	V2T 6Y7	PKML	6213	2017-10-05 11:12:01-07	2017-10-05 11:12:01-07	\N	f
All Terra Ventures Ltd. (1134546 B.C. Ltd.)	6046256032	\N	26871 58 Ave	Langley	BC	Canada	V4W 1V6	ATV	5751	2016-05-06 06:32:47-07	2017-10-04 08:41:50-07	8	f
Strong Refrigeration Consultants Inc.	6045317151	6045318971	800 - 15355 24th Avenue, Suite 639	Surrey	BC	Canada	V4A 2H9	SRCI	3958	2009-01-12 07:00:00-08	2016-05-06 06:32:16-07	\N	f
Vantol Construction	(604) 319-2856 ext ____	\N	4717 45 Ave	Delta	BC	Canada	V4K1J7	VC	6130	2017-03-06 13:11:10-08	2017-03-17 16:25:21-07	\N	f
A & P Cleaning	6047935936	6047927501	9766 Carleton St	Chilliwack	BC	Canada	V2P 5J2	APC	2901	2004-07-25 08:00:00-07	2016-05-06 06:31:59-07	\N	f
Clairmont Mechanical Contracting Ltd.	6045028800	6045028002	#313-8352 130th Street	Surrey	BC	Canada	V3W 8J9	CMCL	402	2001-07-25 08:00:00-07	2017-09-08 09:46:23-07	5	f
West Coast Steel Ltd.	6045540171	6045540172	2990 Christmas Way	Coquitlam	BC	Canada	V3C 2M2	WCSL	5160	2012-12-03 07:00:00-08	2017-09-29 13:56:43-07	5	f
EQUS Surfaces, A Division of Lafarge	(604) 309-1515 ext ____	\N	#208 - 20285 Stewart Crescent	 Maple Ridge	BC	Canada	V2X 6C3	EQUS	6125	2017-02-27 10:31:11-08	2017-02-27 10:31:11-08	0.00000000000000000000	f
GLE Green Landscape Experts Ltd.	(604) 625-5010 ext ____	(888) 299-0824 ext ____	5727 256 Street	Langley	BC	Canada	V4W 1H2	GLE	6158	2017-05-05 15:49:59-07	2017-05-05 15:51:59-07	0.00000000000000000000	f
PC West Construction Ltd.	(604) 852-6886 ext ____	(604) 852-4644 ext ____	18-34378 Manufacturers Way	Abbotsford	BC	Canada	V2S 7M1	PCWC	6152	2017-04-27 09:58:43-07	2017-06-21 10:32:55-07	0.00000000000000000000	f
D. Litchfield & Co. Ltd.	6044647525	\N	3040 Westwood Street	Port Coquitlam	B.C.	Canada	V3C 3C7	DLDC	5653	2016-05-06 06:32:42-07	2017-06-15 14:42:57-07	0.00000000000000000000	f
Geoscape Concrete Rockworks LTD	6045218500	6045170411	1314 Ketch Court	Coquitlam BC			V3K 6W1	GCR	3266	2006-06-15 08:00:00-07	2016-05-06 06:32:07-07	\N	f
Quinterra Proeprty Management	6046891800	6046891824	400-1681 Chestnut Drive	Vancouver			V6J 4M6	QPM	3489	2007-09-23 08:00:00-07	2016-05-06 06:32:11-07	\N	f
Wormald Electric Services	6048611064	6045138546	Westpark Centre RPO	Langley			V1M 4B7	WES	3178	2006-01-22 07:00:00-08	2016-05-06 06:32:05-07	\N	f
Quest Metal Works	6042537771	6042511104	1233 Venables Street	Vancouver   BC		Canada	V5C 6N3	QMW	2271	2003-01-13 07:00:00-08	2016-05-06 06:31:49-07	0	f
Sharing Farm	7789841403	\N	2771 Westminster Highway	Richmond	BC	Canada	V7C 5N6	SF	5951	2016-05-06 06:32:57-07	2016-05-06 06:32:58-07	0	f
Musson Cattell Mackey Partnership	6046872990	6046871771	1900-1066 Hastings St W	Vancouver	BC	Canada	V6E 3X1	MCM	2120	2002-10-02 08:00:00-07	2018-03-28 15:54:59-07	0	f
WSP Canada Inc.	6046888671	6046889760	Unit 200, 1650 Alberni Street,	Vancouver	BC	Canada	V6G 1A6	WSP	6073	2010-08-20 00:00:00-07	2017-12-12 16:35:29-08	\N	f
W. T. Leung Architects	6047369711	7367991	300 - 973 WEST BROADWAY	VANCOUVER	BC	Canada	V5Z1K3	WTLA	1474	2001-07-20 08:00:00-07	2018-02-21 12:58:12-08	\N	f
Villa Electric (1980) Ltd. 	6045303775	6045305885	Unit 3 5492 Production Boulevard	Surrey	BC	Canada	V3S 8P5	VEL	5118	2012-10-23 08:00:00-07	2018-03-23 08:52:46-07	3	f
J's Waterproofing Inc.	6048058412	\N	10950 284th Street	Maple Ridge	BC	Canada	V2W 1L7	JWI	5964	2016-05-06 06:32:57-07	2017-09-28 10:05:18-07	7	f
Hadcon Construction Ltd.	(604) 690-5853 ext ____	\N	209 67A St	Delta	BC	Canada	V4L1L2	HCL	6129	2017-03-06 12:17:23-08	2017-05-03 16:39:24-07	5	f
Levelrite Concrete Designs	6045766979	6045431995	#709, 13377 - 78 Avenue	Surrey	BC	Canada	V3W 5B9	LCD	3978	2009-02-01 07:00:00-08	2016-05-06 06:32:16-07	\N	f
The Andrews Architects Inc.	6042777959	\N	102 7831 Steveston Hwy	Richmond	BC	Canada	V7A 1L9	TAA	5935	2016-05-06 06:32:57-07	2016-05-06 06:32:57-07	0	f
DRE-MAX Construction Inc.	(780) 960-5012 ext ____	(780) 960-7160 ext ____	#47, 53504 – RR 274	Spruce Grove	AB	Canada	T7X 3T1\t	DRE	6131	2017-03-09 15:00:35-08	2017-03-09 15:00:35-08	\N	f
Nairn Holdings	6048984740		P O Box 623	Squamish	BC		V0N 3G0	NH	3089	2005-07-14 08:00:00-07	2016-05-06 06:32:04-07	\N	f
ConPact Systems (2004) Ltd.	6045338386	6045338384	PO Box 10075 3600-248th Street	Aldergrove	BC	Canada	V4W 3Z5	CSL	3105	2005-08-23 08:00:00-07	2016-05-06 06:32:04-07	\N	f
SWP Maintenance Ltd.	6043499949		7833 Garfield Drive	Delta	BC	Canada	V4C 4C9	SWPM	5444	2013-10-14 08:00:00-07	2016-05-06 06:32:39-07	\N	f
ILS Inter-Lite Sales	6049422232	6049422294	101B - 81 Golden Drive	Coquitlam	BC	Canada	V3K 6R2	ILS	5536	2014-02-05 07:00:00-08	2016-05-06 06:32:39-07	\N	f
Protech Welding Ltd 	6049873008		1-1500 Railway Street	North Vancouver		Canada	V7J 1B5	PW	4842	2012-01-16 07:00:00-08	2016-05-06 06:32:26-07	\N	f
Azores Concrete Ltd.	6045720802		7885 - 118 Street	Delta	BC	Canada	V4G 6G9	ACL	4988	2012-04-24 08:00:00-07	2016-05-06 06:32:29-07	\N	f
Summit Fire Protection Ltd.	16048261379		PO Box 20037 RPo Hills	Mission	BC	Canada	V2V 7P8	SFP	5050	2012-08-09 08:00:00-07	2016-05-06 06:32:31-07	\N	f
PC Urban 149 West 7th Ave Holdings Ltd.	6042826085	\N	Suite 880, 1090 West Georgia St	Vancouver	BC	Canada	V6E3V7		5757	2016-05-06 06:32:47-07	2016-05-06 06:32:47-07	0	f
Shaw- Calgary	4035363940	\N	2400 - 32 Avenue NE	Calgary	AB	Canada	T2E9A7	Shaw	5772	2016-05-06 06:32:50-07	2016-05-06 06:32:50-07	\N	f
Khan Lee	6047262699	\N	xxxx	Vancouver	BC	Canada	000 000	Khan	5960	2016-05-06 06:32:57-07	2016-05-06 06:32:58-07	\N	f
Cardinal Engineering Ltd.	(604) 329-8050 ext ____		604 - 610 Granville Street	Vancouver	BC	Canada	V6C 3J3	CEL	6214	2017-10-10 14:10:07-07	2017-10-10 14:13:03-07	\N	f
RecTec Industries Inc. 	(604) 940-0067 ext ____	\N	14-7228 Progress Way	Delta	BC	Canada	V4G 1H2	RTI	6069	2016-11-04 15:59:19-07	2016-11-04 15:59:19-07	\N	f
Veritas Millwork 	6046264080	6046264030	5536 275th Street	Langley	BC	Canada	V4W 3X7	VM	6071	2009-06-02 00:00:00-07	2016-11-05 01:40:38-07	\N	f
Artcraft Display Graphics Inc	(604) 552-1055 ext ____		#112-1533 Broadway Street	Port Coquitlam	BC	Canada	V3C 6P3	ADGI	6109	2017-01-20 15:40:24-08	2017-01-23 08:08:20-08	\N	f
Shato Holdings Ltd.	(604) 874-5533 ext ____	(604) 874-4567 ext ____	Suite 300, 4088 Cambie Street	Vancouver	BC	Canada	V5Z2X8	SHL	6119	2017-02-16 08:58:37-08	2017-03-10 14:31:18-08	\N	f
PC Urban 275 West 5th Ave Holdings Ltd	(604) 408-5689 ext ____		880 - 1090 West Georgia Street	Vancouver	BC	Canada	V6E 3V7	PCU	6215	2017-10-11 10:40:35-07	2017-10-11 10:40:35-07	\N	f
City of Surrey	6045914011	6045912680	14245 56th Avenue	Surrey	BC	Canada	V3X 3A2	CS	2873	2004-06-02 08:00:00-07	2017-02-16 08:56:36-08	\N	f
City of Richmond	6042764000	6042764177	6911 No. 3 Road	Richmond	BC	Canada	V6Y 2C1	CoR	2773	2004-01-08 07:00:00-08	2017-06-02 11:47:40-07	0	f
DS Lee Engineering	(604) 276-2555 ext ____	\N	Suite 100-21320 Gordon Way	Richmond	BC	Canada	V6W 1J8	DSL	6216	2017-10-11 14:10:19-07	2017-10-11 15:59:11-07	\N	f
Area3	(778) 297-2732 ext ____	\N	#217 - 7080 River Road	Richmond	BC	Canada	V6X 1X5	A3	6112	2017-01-23 11:28:41-08	2017-06-30 12:09:08-07	\N	f
Total Connect Communications	6046893900	6041111111	211-425 Carrall St	Vancouver	BC	Canada	V6B 6E3	TCCI	2	2001-05-06 08:00:00-07	2016-05-06 06:31:13-07	\N	f
86th Ave Cabinetry	6042440491	6042735831	12331 Bridgeport Road	Richmond	BC	Canada	V6V 1J4	8AC	72	2001-07-25 08:00:00-07	2016-05-06 06:31:13-07	\N	f
System Fabricators Ltd.	6045728801	6045918723	7859 115th Street	Delta	BC	Canada	V4C 5N2	AR&MW	78	2001-07-25 08:00:00-07	2016-05-06 06:31:13-07	\N	f
A-1 Line Painting	6047938537	6047949869	52712 Bunker Road	Rosedale	BC	Canada	V0X 1X0	ALP	79	2001-07-25 08:00:00-07	2016-05-06 06:31:13-07	\N	f
A-1 Trusses	6045802200	6045912260	Suite 201-8334 128 St	Surrey	BC	Canada	V3R 9W4	AT	81	2001-07-25 08:00:00-07	2016-05-06 06:31:13-07	\N	f
Euroline Windows Inc	(604) 940-8485 ext ____		7620 MacDonald Rd	Delta	BC	Canada	V4G 1N2	EWI	6217	2017-10-12 09:39:54-07	2017-10-12 09:40:44-07	\N	f
Fransor Insulation Ltd.	6048887666	6048886877	9323 194th Street	Surrey	BC	Canada	V4N 4G1	FIL	6055	2001-07-25 00:00:00-07	2017-08-23 10:55:25-07	\N	t
MMM Group Ltd.	6046859381	6046838655	700-1045 Howe St 	Vancouver	BC	Canada	V6Z 2A9	MMM	4336	2010-06-03 08:00:00-07	2017-09-15 08:29:30-07	0	f
Drabek Technologies	6047792563	8662265942	#206 6200 Darnley St	Burnaby	BC	Canada	V5B3B1	DT	5584	2014-02-27 07:00:00-08	2017-09-11 16:33:57-07	6	f
Earthtec Ltd.	(604) 882-8582 ext ____	\N	Unit 5, 9525 – 189th Street	Surrey	British Columbia	Canada	V4N 5L8	\N	6219	2017-10-17 09:33:40-07	2017-10-17 09:33:40-07	\N	f
Finished Construction Ltd.	6043382112		Box 3737, Station Terminal	Vancouver	BC	Canada	V6B 3Z1	FCL	5328	2013-04-24 08:00:00-07	2017-03-10 16:52:38-08	7	f
Star Aluminum Railing System Inc.	4036407878	\N	1-3511 64 Ave SE	Calgary	AB	Canada	T2C1N3	SARS	5745	2016-05-06 06:32:47-07	2016-05-06 06:32:47-07	4	f
C3 Integrated Solutions Inc.	6042779777	6042779776	12220 Vickers Way	Richmond	BC	Canada	V6V 1H9	C3	5250	2013-02-24 07:00:00-08	2016-05-06 06:32:34-07	8	f
Haddon Holdings Limited	6043253281	\N	8441 Main Street	Vancouver	BC	Canada	V5X3Y2	HHL	5933	2016-05-06 06:32:55-07	2016-05-06 06:32:56-07	8	f
GML Mechanical Ltd.	6049409686	6049409687	#13 - 7355 72nd Street	Delta	BC	Canada	V4G 1L5	GML	2561	2003-03-28 07:00:00-08	2016-05-06 06:31:54-07	8	f
A-C Systems Inc.	6049849301		1415 Crown Street	North Vancouver	BC	Canada	V7J 1G4	AS	84	2001-07-25 08:00:00-07	2016-05-06 06:31:13-07	\N	f
Abbing Reprographics Ltd.	6042930029	6042919585	4403 Dawson Street	Burnaby	BC	Canada	V5C 4B4	ARL	102	2001-07-25 08:00:00-07	2016-05-06 06:31:13-07	\N	f
Accuglass Edging Ltd.	6042768441	6042768496	150 - 5920 No 2 Road	Richmond	BC	Canada	V7C 4R9	AEL	113	2001-07-25 08:00:00-07	2016-05-06 06:31:13-07	\N	f
A-1 Windows	6047778000	4343342	8038 Glenwood Dr, Burnaby	Burnaby	BC	Canada		AW	82	2001-07-25 08:00:00-07	2016-05-06 06:31:13-07	\N	f
Acme Masonry Ltd.	6042911465	6042910362	7837  Meadowood Drive	Burnaby	BC	Canada	V5C 4E1	AML	119	2001-07-25 08:00:00-07	2016-05-06 06:31:13-07	\N	f
Active Turf Irrigation	6049296521	6049296541	2 - 117 Charles Street	North Vancouver	BC	Canada	V7H 1S1	ATI	124	2001-07-23 08:00:00-07	2016-05-06 06:31:13-07	\N	f
Adanac Carpet Ltd.	6042553852	6042553226	2050 Clark Drive	Vancouver	BC	Canada	V5N 3G7	ACL	128	2001-07-25 08:00:00-07	2016-05-06 06:31:13-07	\N	f
AI Industries Structural & Miscellaneous Metals	6045832171	6045832214	12349 104 Avenue	Surrey	BC	Canada	V3V 3H2	AII	4956	2012-04-17 08:00:00-07	2018-02-06 09:28:44-08	8	f
